,Name,Price,Product Link,Image
0,Max,559,https://www.amazon.in/Max-Mens-Solid-T-Shirt-SP20CNTRI01_Multicolor_XL/dp/B08353WQBT?dchild=1,https://m.media-amazon.com/images/I/81nqtPBlV8L._AC_UL320_.jpg
1,Max,382,https://www.amazon.in/Max-Mens-Solid-Slim-AMPSP2001HSYGREEN_Green/dp/B08353RFB8?dchild=1,https://m.media-amazon.com/images/I/81DBzxLgzjL._AC_UL320_.jpg
2,Jockey,469,https://www.amazon.in/Jockey-Regular-T-Shirt-2715-105_Navy-Green_Large/dp/B01LASV324?dchild=1,https://m.media-amazon.com/images/I/71bH-FKqSmL._AC_UL320_.jpg
3,US Polo Association,839,https://www.amazon.in/US-Polo-Association-Regular-USTS5782_USPA/dp/B077Y4ZKS8?dchild=1,https://m.media-amazon.com/images/I/81LGkFoaeeL._AC_UL320_.jpg
4,KIPA,60,https://www.amazon.in/KIPA-Invisible-Round-Neck-T-Shirt/dp/B0899HDH2S?dchild=1,https://m.media-amazon.com/images/I/51O+1V5feOL._AC_UL320_.jpg
5,Mascot,799,https://www.amazon.in/MASCOT-T-Shirts-Creations-Large-Multicolour/dp/B073MKNJCR?dchild=1,https://m.media-amazon.com/images/I/61trjq5idML._AC_UL320_.jpg
6,Van Heusen Athleisure,459,https://www.amazon.in/Van-Heusen-T-Shirt-8907670964477_60001_Blue-Melange_L/dp/B073WC56W7?dchild=1,https://m.media-amazon.com/images/I/816oB6fba5L._AC_UL320_.jpg
7,Katso,299,https://www.amazon.in/Katso-Cotton-Hooded-T-Shirt-Katso-Hood-Full-Black-M/dp/B01HQ4O058?dchild=1,https://m.media-amazon.com/images/I/71SOM8sevLL._AC_UL320_.jpg
8,Wrath,429,https://www.amazon.in/Wrath-Daredevil-T-Shirt-Black-Large/dp/B07RRQKQ1B?dchild=1,https://m.media-amazon.com/images/I/61rsI2I4AiL._AC_UL320_.jpg
9,Amazon Brand - Symbol,449,https://www.amazon.in/Amazon-Brand-Symbol-Striper-AW17MPCSP3_L_Sky/dp/B073X3Y7DG?dchild=1,https://m.media-amazon.com/images/I/81hxztM1LiL._AC_UL320_.jpg
10,AELOMART,489,https://www.amazon.in/AELOMART-Mens-Regular-T-Shirt-AMT1125-L_Olive_Large/dp/B082G3S7GC?dchild=1,https://m.media-amazon.com/images/I/71kIhgERsfL._AC_UL320_.jpg
11,EYEBOGLER,449,https://www.amazon.in/Seven-Rocks-Buttoned-Melange-M-Ntb-Nm_Navy_Melange/dp/B075KJ84KM?dchild=1,https://m.media-amazon.com/images/I/619Y3gwSpXL._AC_UL320_.jpg
12,Peppyzone,399,https://www.amazon.in/Lion-Camouflage-Cotton-T-Shirt-Green_XL-Large/dp/B07455NNTM?dchild=1,https://m.media-amazon.com/images/I/61ow8ecYpHL._AC_UL320_.jpg
13,Chromozome,199,https://www.amazon.in/Chromozome-OS9-Mens-T-Shirt-8902733390354_OS9-Catalineblue-L/dp/B073ZK2JLY?dchild=1,https://m.media-amazon.com/images/I/81724dCTGbL._AC_UL320_.jpg
14,Urban Army,349,https://www.amazon.in/Urban-Army-Regular-T-Shirt-ALpha_LineAveng_Black_Large/dp/B083FXSPVJ?dchild=1,https://m.media-amazon.com/images/I/71m5e+aWJhL._AC_UL320_.jpg
15,EYEBOGLER,449,https://www.amazon.in/Seven-Rocks-Regular-XL-T51-NBIR-Blue-Indigo/dp/B07DMGPDVW?dchild=1,https://m.media-amazon.com/images/I/61IpAurpNXL._AC_UL320_.jpg
16,US Polo Association,"1,399",https://www.amazon.in/US-Polo-Association-Regular-USTS5773_Italian/dp/B077Y79RDN?dchild=1,https://m.media-amazon.com/images/I/81tSTmM4z0L._AC_UL320_.jpg
17,STYLENSE,299,https://www.amazon.in/Veirdo-Mens-Cotton-T-shirt-Large/dp/B07H358SXJ?dchild=1,https://m.media-amazon.com/images/I/71NURtpEwOL._AC_UL320_.jpg
18,KGB,599,https://www.amazon.in/KGB-Shirts-Sleeves-Collar-Pocket/dp/B07X912YHJ?dchild=1,https://m.media-amazon.com/images/I/51EResmdqsL._AC_UL320_.jpg
19,JUGULAR,249,https://www.amazon.in/JUGULAR-Printed-Olive-Green-Large/dp/B07RN75LZ8?dchild=1,https://m.media-amazon.com/images/I/61KPE0-uBPL._AC_UL320_.jpg
20,EYEBOGLER,449,https://www.amazon.in/EYEBOGLER-Regular-T-Shirt-L-T91-KMWM-Melange-Wine/dp/B07RWD834S?dchild=1,https://m.media-amazon.com/images/I/61mlWcgzsYL._AC_UL320_.jpg
21,BULLMER,698,https://www.amazon.in/BULLMER-Halfsleeve-Printed-Cotton-Tshirt/dp/B0892S5QB5?dchild=1,https://m.media-amazon.com/images/I/61WO5U4TOAL._AC_UL320_.jpg
22,KIPA,60,https://www.amazon.in/KIPA-Unisex-Never-T-Shirt-Medium/dp/B088ZYRWNH?dchild=1,https://m.media-amazon.com/images/I/71t5E7H7TsL._AC_UL320_.jpg
23,Veirdo,249,https://www.amazon.in/Veirdo-Mens-Cotton-T-Shirt-White_Medium/dp/B01N595PSO?dchild=1,https://m.media-amazon.com/images/I/710Nz0GBUAL._AC_UL320_.jpg
24,US Polo Association,499,https://www.amazon.in/U-S-Polo-Assn-Regular-I633-179-PL_Olive_Medium/dp/B0793JLK9L?dchild=1,https://m.media-amazon.com/images/I/81nHQejfOjL._AC_UL320_.jpg
25,Seven Rocks,399,https://www.amazon.in/Seven-Rocks-Stylish-Panelled-M-T21-NBWH/dp/B07C7V5GCB?dchild=1,https://m.media-amazon.com/images/I/61g1AkKV2dL._AC_UL320_.jpg
26,US Polo Association,499,https://www.amazon.in/U-S-Polo-Assn-I638-978-PL_Blue-Melange_Large/dp/B0793LFJZP?dchild=1,https://m.media-amazon.com/images/I/81kzjhOHaiL._AC_UL320_.jpg
27,Max,559,https://www.amazon.in/Max-Mens-Solid-T-Shirt-SP20CNTRI01_Multicolor_S/dp/B08353Q499?dchild=1,https://m.media-amazon.com/images/I/81nqtPBlV8L._AC_UL320_.jpg
28,Katso,299,https://www.amazon.in/Katso-Mens-Cotton-Sleeve-Large/dp/B01LW6ONN2?dchild=1,https://m.media-amazon.com/images/I/81DXUJBlGJL._AC_UL320_.jpg
29,Maniac,367,https://www.amazon.in/Maniac-Fullsleeve-Printed-T-Shirt-Charcoal/dp/B07B2VVHNT?dchild=1,https://m.media-amazon.com/images/I/81jkcAeu1jL._AC_UL320_.jpg
30,Wrath,419,https://www.amazon.in/Wrath-Effortless-Triple-Blocked-T-Shirt/dp/B07RNM4SRD?dchild=1,https://m.media-amazon.com/images/I/61CHH37iR8L._AC_UL320_.jpg
31,Veirdo,299,https://www.amazon.in/Veirdo-Cotton-Tshirt-Large-White/dp/B07MXJVN7W?dchild=1,https://m.media-amazon.com/images/I/71+0SFJJFfL._AC_UL320_.jpg
32,US Polo Association,499,https://www.amazon.in/U-S-Polo-Assn-I633-003-PL_Grey-Melange_Medium/dp/B0793NHDYQ?dchild=1,https://m.media-amazon.com/images/I/61M8oKBUTxL._AC_UL320_.jpg
33,Black Collection,579,https://www.amazon.in/Black-Collection-Plain-T-Shirt-BCSA0002_Black_M/dp/B00WQO2DGC?dchild=1,https://m.media-amazon.com/images/I/61cuO5SabwL._AC_UL320_.jpg
34,Maniac,364,https://www.amazon.in/Maniac-%E0%A4%AA%E0%A5%81%E0%A4%B0%E0%A5%81%E0%A4%B7%E0%A5%8B%E0%A4%82-%E0%A4%B8%E0%A5%8D%E0%A4%B2%E0%A5%80%E0%A4%B5-%E0%A4%95%E0%A5%89%E0%A4%9F%E0%A4%A8-%E0%A4%9F%E0%A5%80-%E0%A4%B6%E0%A4%B0%E0%A5%8D%E0%A4%9F/dp/B07B6RLJMJ?dchild=1,https://m.media-amazon.com/images/I/81VoHI-qYYL._AC_UL320_.jpg
35,Maniac,322,https://www.amazon.in/Maniac-Stripes-Fullsleeve-Raglan-T-Shirt/dp/B07MGZ256L?dchild=1,https://m.media-amazon.com/images/I/6148RTfghOL._AC_UL320_.jpg
36,Deniklo,419,https://www.amazon.in/Deniklo-Solid-Regular-DK14-M_Navy-Blue_M/dp/B07T9GHL64?dchild=1,https://m.media-amazon.com/images/I/81GfMQ5fggL._AC_UL320_.jpg
37,Van Heusen,663,https://www.amazon.in/Van-Heusen-Solid-Regular-VSKP517S011421_Cream_Large/dp/B076CKDCJP?dchild=1,https://m.media-amazon.com/images/I/81X3jV2xa3L._AC_UL320_.jpg
38,fanideaz,637,https://www.amazon.in/fanideaz-Mens-Cotton-T-Shirts-GY_XL/dp/B0855CGJY5?dchild=1,https://m.media-amazon.com/images/I/61qRM+JEgQL._AC_UL320_.jpg
39,US Polo Association,499,https://www.amazon.in/U-S-Polo-Assn-Regular-I638-195-PL_Navy_Medium/dp/B0793KC76J?dchild=1,https://m.media-amazon.com/images/I/81qHzf51R6L._AC_UL320_.jpg
40,Veirdo,299,https://www.amazon.in/Veirdo-Cotton-T-Shirt-Casual-Military/dp/B079HRBNCW?dchild=1,https://m.media-amazon.com/images/I/71BmPL0Nk2L._AC_UL320_.jpg
41,Maniac,414,https://www.amazon.in/Maniac-MenS-Cotton-Polo-300034-M_White_Medium/dp/B00YUNGT94?dchild=1,https://m.media-amazon.com/images/I/91X79hWEsAL._AC_UL320_.jpg
42,United Colors of Benetton,549,https://www.amazon.in/United-Colors-Benetton-Regular-19A3C78J3007I_101_L_White_L/dp/B07QG5KKPV?dchild=1,https://m.media-amazon.com/images/I/71lI6j1828L._AC_UL320_.jpg
43,AMERICAN CREW,599,https://www.amazon.in/American-Crew-Mens-AC160-Medium/dp/B00SYP34IS?dchild=1,https://m.media-amazon.com/images/I/71xXfDqiVaL._AC_UL320_.jpg
44,Generic,178,https://www.amazon.in/HVBK-Sleeve-Hooded-T-Shirt-AZ-5-C-M-Blue/dp/B089BVTWCY?dchild=1,https://m.media-amazon.com/images/I/71I2EQQ1q-L._AC_UL320_.jpg
45,Amazon Brand - Symbol,399,https://www.amazon.in/Amazon-Brand-Symbol-Regular-SS18PLK127-B_Multicolor4_XXL/dp/B073X4MJF5?dchild=1,https://m.media-amazon.com/images/I/81qkPUsqIVL._AC_UL320_.jpg
46,EYEBOGLER,449,https://www.amazon.in/EYEBOGLER-Regular-Cotton-T-Shirt-Blue-Orange/dp/B07NVCM697?dchild=1,https://m.media-amazon.com/images/I/61ptYDK-xvL._AC_UL320_.jpg
47,Wear Your Opinion,499,https://www.amazon.in/Wear-Your-Opinion-Camouflage-GreyCamo/dp/B07LGD2959?dchild=1,https://m.media-amazon.com/images/I/714Lkwsi-qL._AC_UL320_.jpg
,Name,Price,Product Link,Image
0,Caseria,335,https://www.amazon.in/Caseria-Cotton-Graphic-Printed-T-Shirt/dp/B07FXF56DW?dchild=1,https://m.media-amazon.com/images/I/61WR83cOEyL._AC_UL320_.jpg
1,BULLMER,698,https://www.amazon.in/BULLMER-Halfsleeve-Printed-Cotton-Tshirt/dp/B0892RLGJK?dchild=1,https://m.media-amazon.com/images/I/71AR-fg00pL._AC_UL320_.jpg
2,US Polo Association,529,https://www.amazon.in/U-S-Polo-Assn-Regular-I638-002-PL_Black_X-Large/dp/B0793HNVXG?dchild=1,https://m.media-amazon.com/images/I/81Z9uIN2FQL._AC_UL320_.jpg
3,Amazon Brand - Symbol,399,https://www.amazon.in/Amazon-Brand-Symbol-T-Shirt-AW17PLPO2V3_S_Multicolor3/dp/B073X2QWXY?dchild=1,https://m.media-amazon.com/images/I/9194ee1ZunL._AC_UL320_.jpg
4,Scott International,499,https://www.amazon.in/Scott-International-Cotton-T-Shirts-Multicolour_XL/dp/B079ZYDL47?dchild=1,https://m.media-amazon.com/images/I/71esfqstYmL._AC_UL320_.jpg
5,AELOMART,449,https://www.amazon.in/AELOMART-%E0%A4%AA%E0%A5%81%E0%A4%B0%E0%A5%81%E0%A4%B7%E0%A5%8B%E0%A4%82-%E0%A4%B6%E0%A4%B0%E0%A5%8D%E0%A4%9F-AMT1279_%E0%A4%B8%E0%A4%AB%E0%A4%BC%E0%A5%87%E0%A4%A6_%E0%A4%AA%E0%A5%88%E0%A4%B0%E0%A5%87%E0%A4%82%E0%A4%9F-%E0%A4%B8%E0%A4%AB%E0%A4%BC%E0%A5%87%E0%A4%A6/dp/B0847Q9ZD4?dchild=1,https://m.media-amazon.com/images/I/71uc3AnMvZL._AC_UL320_.jpg
6,Jockey,799,https://www.amazon.in/Jockey-Mens-Asymmetric-T-Shirt-8901326164754_3912_X-Large_White/dp/B072BGFXZR?dchild=1,https://m.media-amazon.com/images/I/51vmb5mYSoL._AC_UL320_.jpg
7,Amazon Brand - Symbol,499,https://www.amazon.in/Amazon-Brand-Symbol-T-Shirt-AW17PLPO2-4_L_Multicolor4/dp/B073X4K1SZ?dchild=1,https://m.media-amazon.com/images/I/81FS7UapOJL._AC_UL320_.jpg
8,Tee Mafia,499,https://www.amazon.in/Tee-Mafia-Unisex-T-Shirt-Medium/dp/B0867H1H7B?dchild=1,https://m.media-amazon.com/images/I/415jY1M6jwL._AC_UL320_.jpg
9,ABOF,349,https://www.amazon.in/ABOF-Mens-Solid-Slim-BOA19AMCWPO4006219_Navy_M/dp/B07RC57ZZ2?dchild=1,https://m.media-amazon.com/images/I/81r8Xs-5H3L._AC_UL320_.jpg
10,The Souled Store,398,https://www.amazon.in/Souled-Store-Harry-Potter-Hogwarts/dp/B07Q55YKQ6?dchild=1,https://m.media-amazon.com/images/I/51M5YtzgHaL._AC_UL320_.jpg
11,AWG - All Weather Gear,269,https://www.amazon.in/AWG-Weather-Regular-AW19-AWGDFT-DGR-XL_Dark-Grey_X-Large/dp/B083GN5YZ3?dchild=1,https://m.media-amazon.com/images/I/716saNTaoHL._AC_UL320_.jpg
12,GRITSTONES,348,https://www.amazon.in/Gritstones-Steel-Sleeve-Round-GSOMBHSRNCKSGRY_S/dp/B01JGKLG3Y?dchild=1,https://m.media-amazon.com/images/I/617oIP0bqIL._AC_UL320_.jpg
13,Maniac,314,https://www.amazon.in/Maniac-Cotton-T-Shirt-ML-MEN-SS18-STRIPES-THUMB-RING-NAVY-XL-X-Large/dp/B078V9CSW1?dchild=1,https://m.media-amazon.com/images/I/81Sv20TePNL._AC_UL320_.jpg
14,Fort Collins,314,https://www.amazon.in/Fort-Collins-Regular-T-Shirt-FC11153_White/dp/B083WZ8FX7?dchild=1,https://m.media-amazon.com/images/I/71Gs2Ur45sL._AC_UL320_.jpg
15,United Colors of Benetton,769,https://www.amazon.in/United-Colors-Benetton-Regular-19A3069J0003I_101_L_White_L/dp/B07QJFLRGC?dchild=1,https://m.media-amazon.com/images/I/71NRmag8DOL._AC_UL320_.jpg
16,Amazon Brand - Symbol,549,https://www.amazon.in/Amazon-Brand-Printed-Regular-_Black_M/dp/B081BCRBT9?dchild=1,https://m.media-amazon.com/images/I/81nEClVQvdL._AC_UL320_.jpg
17,LAZYCHUNKS,455,https://www.amazon.in/LAZYCHUNKS-Cotton-Sleeve-Henley-Tshirt_Black_Medium/dp/B07N8T4BFL?dchild=1,https://m.media-amazon.com/images/I/61Hs6DaCKUL._AC_UL320_.jpg
18,YaZhi,499,https://www.amazon.in/YaZhi-Regular-T-Shirt-0001YZ_Combo_3_003_Black-White_Medium/dp/B083TK96VQ?dchild=1,https://m.media-amazon.com/images/I/51j2vXcC8IL._AC_UL320_.jpg
19,Amazon Brand - Symbol,469,https://www.amazon.in/Amazon-Brand-Regular-SS19MNTEE05-6_White-Cobalt_Large/dp/B07NW2FPHY?dchild=1,https://m.media-amazon.com/images/I/81flaJda7ML._AC_UL320_.jpg
20,US Polo Association,,https://www.amazon.in/US-Polo-Association-Printed-USTS6068_Snapdragon_L/dp/B07TJ1H41D?dchild=1,https://m.media-amazon.com/images/I/81XcgVnyyEL._AC_UL320_.jpg
21,Amazon Brand - Inkast Denim Co.,309,https://www.amazon.in/Amazon-Brand-Regular-T-Shirt-AZ-TS-08F_Navy_L/dp/B081H4W1HT?dchild=1,https://m.media-amazon.com/images/I/81Y0clCiSXL._AC_UL320_.jpg
22,Amazon Brand - Symbol,379,https://www.amazon.in/Amazon-Brand-Symbol-%E0%A4%AA%E0%A5%81%E0%A4%B0%E0%A5%81%E0%A4%B7%E0%A5%8B%E0%A4%82-%E0%A4%B0%E0%A5%87%E0%A4%97%E0%A5%81%E0%A4%B2%E0%A4%B0/dp/B081BCYP4T?dchild=1,https://m.media-amazon.com/images/I/81P5Awd6qQL._AC_UL320_.jpg
23,Bigbanana,699,https://www.amazon.in/BIGBANANA-Cotton-Sleeves-Embroidered-T-Shirt/dp/B07L2HR15H?dchild=1,https://m.media-amazon.com/images/I/71ITf8I7DIL._AC_UL320_.jpg
24,EASY BUY,269,https://www.amazon.in/EASY-BUY-Shirt-NS20GD03MT_-Black/dp/B08C8DWW82?dchild=1,https://m.media-amazon.com/images/I/81Ez6ocGG9L._AC_UL320_.jpg
25,Covernfashion,339,https://www.amazon.in/Fashion-Unisex-Dri-Fit-Sleeve-Bangtan/dp/B08B4VVLS7?dchild=1,https://m.media-amazon.com/images/I/510XGPY0vpL._AC_UL320_.jpg
26,hotfits,699,https://www.amazon.in/Hotfits-Cotton-Sleeveless-Tshirt-Multi-Coloured-XL/dp/B078L33ZRR?dchild=1,https://m.media-amazon.com/images/I/717uvJOjEmL._AC_UL320_.jpg
27,Veirdo,249,https://www.amazon.in/Veirdo-Mens-Cotton-T-Shirt-Black/dp/B07F5DB3HB?dchild=1,https://m.media-amazon.com/images/I/6123RHwOROL._AC_UL320_.jpg
28,Jockey,,https://www.amazon.in/Jockey-Plain-Regular-T-Shirt-2726_Pacific/dp/B07YXJCTD7?dchild=1,https://m.media-amazon.com/images/I/61Xqmw0Kr3L._AC_UL320_.jpg
29,Amazon Brand - House & Shields,469,https://www.amazon.in/Amazon-Brand-Shields-AW19-HSK-47_Vintage-Maroon-Iris/dp/B07TYVKVSX?dchild=1,https://m.media-amazon.com/images/I/815rili-kuL._AC_UL320_.jpg
30,United Colors of Benetton,559,https://www.amazon.in/United-Colors-Benetton-Printed-19P3AOPJ3066I_B34_M_Blue_Medium/dp/B07LFV64DN?dchild=1,https://m.media-amazon.com/images/I/81kkPJHTGwL._AC_UL320_.jpg
31,VIMAL JONNEY,899,https://www.amazon.in/VIMAL-JONNEY-Multicolor-T-Shirt-T_12_BLK_12_ANT_11_BLK-03-XXL/dp/B07VY7S253?dchild=1,https://m.media-amazon.com/images/I/71oJ5vry-9L._AC_UL320_.jpg
32,fanideaz,509,https://www.amazon.in/fanideaz-Mens-Cotton-T-Shirts-Men_DarkBlue_XL/dp/B086L8T94M?dchild=1,https://m.media-amazon.com/images/I/713S0eBibJL._AC_UL320_.jpg
33,EYEBOGLER,449,https://www.amazon.in/EYEBOGLER-Regular-T-Shirt-L-T91-NBTM-Blue-Teal/dp/B07RQZYYS1?dchild=1,https://m.media-amazon.com/images/I/412YATSakoL._AC_UL320_.jpg
34,GRITSTONES,299,https://www.amazon.in/GRITSTONES-Mens-Cotton-T-Shirt-GSCLHLY720BLK-M_Black_M/dp/B014I4H3DK?dchild=1,https://m.media-amazon.com/images/I/61ZdngmlhFL._AC_UL320_.jpg
35,US Polo Association,600,https://www.amazon.in/US-Polo-Association-UDTS0367_Green-Brair_Medium/dp/B07L6Y9R72?dchild=1,https://m.media-amazon.com/images/I/81RJNULaNSL._AC_UL320_.jpg
36,EASY BUY,152,https://www.amazon.in/EASY-BUY-Mens-T-Shirt-NS20GA01MT_/dp/B08C89JGM3?dchild=1,https://m.media-amazon.com/images/I/716KcP6OUnL._AC_UL320_.jpg
37,Scott International,399,https://www.amazon.in/Scott-International-Cotton-T-Shirt-SC-BAS-PN-BL-GR-XXXL/dp/B085TQL8T3?dchild=1,https://m.media-amazon.com/images/I/61GFXjvYq5L._AC_UL320_.jpg
38,BULLMER,698,https://www.amazon.in/BULLMER-Cotton-Printed-T-shirt-Multicolour/dp/B0892TVFBN?dchild=1,https://m.media-amazon.com/images/I/715fLvcic1L._AC_UL320_.jpg
39,Austin Wood,399,https://www.amazon.in/Austin-Wood-Colorblocked-T-Shirt-Embroidery/dp/B07QQLM813?dchild=1,https://m.media-amazon.com/images/I/71Mci-jDGYL._AC_UL320_.jpg
40,US Polo Association,809,https://www.amazon.in/US-Polo-Association-Regular-USTS5723_Blue_M/dp/B078GB9W6V?dchild=1,https://m.media-amazon.com/images/I/81sDzIUIFFL._AC_UL320_.jpg
41,Arrow Sports,679,https://www.amazon.in/Arrow-Sports-Printed-Regular-ASXTS3414_White_Large/dp/B07L8LTQ1R?dchild=1,https://m.media-amazon.com/images/I/810dl1heWpL._AC_UL320_.jpg
42,United Colors of Benetton,559,https://www.amazon.in/United-Colors-Benetton-Regular-19A3089J4011I_100_S_Black/dp/B07QLXXL5F?dchild=1,https://m.media-amazon.com/images/I/81TVw09cZ-L._AC_UL320_.jpg
43,Amazon Brand - Symbol,"1,009",https://www.amazon.in/Amazon-Brand-Regular-T-Shirt-SS20SYMTEE42-H_Multi-CLR/dp/B081VMM7Z6?dchild=1,https://m.media-amazon.com/images/I/81KaJou3VDL._AC_UL320_.jpg
44,United Colors of Benetton,"1,177",https://www.amazon.in/United-Colors-Benetton-Regular-19A3TIPJ0004I_C01_L_Navy/dp/B07QT2PGHP?dchild=1,https://m.media-amazon.com/images/I/81FeG2a0h1L._AC_UL320_.jpg
45,Amazon Brand - Symactive,319,https://www.amazon.in/Amazon-Brand-Symbol-T-Shirt-AW17-SYSP-05D_Medium_Viridian/dp/B072N829JV?dchild=1,https://m.media-amazon.com/images/I/81RB-er+X0L._AC_UL320_.jpg
46,The Cotton Company,621,https://www.amazon.in/Cotton-Company-Mens-Sport-Shirts/dp/B07J47K6NN?dchild=1,https://m.media-amazon.com/images/I/61W3m6FSl8L._AC_UL320_.jpg
47,Wrangler,505,https://www.amazon.in/Wrangler-Printed-Regular-W31309233W0S_Jsw-White_Large/dp/B07MF9PRB3?dchild=1,https://m.media-amazon.com/images/I/81xmaw5BKgL._AC_UL320_.jpg
,Name,Price,Product Link,Image
0,KGB,499,https://www.amazon.in/KGB-Mens-Regular-Polos-kgb_ep_XL_S_Black_X-Large/dp/B084YTY933?dchild=1,https://m.media-amazon.com/images/I/615ArNcj2wL._AC_UL320_.jpg
1,Amazon Brand - Symactive,399,https://www.amazon.in/Amazon-Brand-Symactive-Regular-AW19-SATV-17_White-Black_Large/dp/B07VRWCZ9C?dchild=1,https://m.media-amazon.com/images/I/71b6uBRSSjL._AC_UL320_.jpg
2,Leotude,299,https://www.amazon.in/Leotude-Regular-Cotton-Printed-T-Shirt/dp/B08C33RVT3?dchild=1,https://m.media-amazon.com/images/I/81L4nfFcsBL._AC_UL320_.jpg
3,EASY BUY,152,https://www.amazon.in/EASY-BUY-T-Shirt-NS20GA01MT_-Charcoal/dp/B08C8CDBVM?dchild=1,https://m.media-amazon.com/images/I/91VmRI5OvvL._AC_UL320_.jpg
4,Elements by Peter England,479,https://www.amazon.in/Elements-Peter-England-Striped-PAKPCSGB702923_Navy/dp/B0825BV5J4?dchild=1,https://m.media-amazon.com/images/I/81PHlHgA2ML._AC_UL320_.jpg
5,Duke,805,https://www.amazon.in/Duke-Stardust-Cotton-Blend-T-Shirt/dp/B06Y1P1VP5?dchild=1,https://m.media-amazon.com/images/I/91UUdK+p13L._AC_UL320_.jpg
6,US Polo Association,"1,044",https://www.amazon.in/US-Polo-Assn-Mens-8907378924988_USTS5359XL_Black/dp/B01N64LB59?dchild=1,https://m.media-amazon.com/images/I/81QW2IRL6tL._AC_UL320_.jpg
7,DJ & C,199,https://www.amazon.in/DJ-FBB-Graphic-T-Shirt-Black/dp/B0834W3Y1R?dchild=1,https://m.media-amazon.com/images/I/711x0BbhobL._AC_UL320_.jpg
8,Urban Rangers by Pantaloons,278,https://www.amazon.in/Urban-Rangers-Pantaloons-Striped-110054113_Grey/dp/B07WTQRZQX?dchild=1,https://m.media-amazon.com/images/I/81ADVIrD0QL._AC_UL320_.jpg
9,Nike,"1,282",https://www.amazon.in/Nike-Regular-T-Shirt-724913-10-Black_L/dp/B01CDPD9IO?dchild=1,https://m.media-amazon.com/images/I/71or7cS0ujL._AC_UL320_.jpg
10,Amazon Brand - Symbol,589,https://www.amazon.in/Amazon-Brand-Regular-SYMSTSPO2-Multicolor-10_XL/dp/B07R3CYYKH?dchild=1,https://m.media-amazon.com/images/I/81AIOtcPWKL._AC_UL320_.jpg
11,Buffalo,419,https://www.amazon.in/Buffalo-Mens-Regular-T-Shirt-1002461782OLIVE_X-Small_Olive_X-Small/dp/B0837XXBFY?dchild=1,https://m.media-amazon.com/images/I/713PWihqURL._AC_UL320_.jpg
12,Elements by Peter England,395,https://www.amazon.in/Elements-Peter-England-Printed-PAKCCSGF356468_Navy/dp/B07YSWJXL7?dchild=1,https://m.media-amazon.com/images/I/81LOTKmgU8L._AC_UL320_.jpg
13,ONN,475,https://www.amazon.in/ONN-Mens-Solid-Regular-NC432_TNGR_1PC_Tangerine_M/dp/B07PMDKM4W?dchild=1,https://m.media-amazon.com/images/I/81TQIfm1fnL._AC_UL320_.jpg
14,US Polo Association,"1,199",https://www.amazon.in/US-Polo-Association-Striped-USTS5709_Blue_M/dp/B078HHDNSL?dchild=1,https://m.media-amazon.com/images/I/91xHSjA99yL._AC_UL320_.jpg
